,street,n,x,y,id,name
1,1,2,16.7380009,18.6959991,1,Map Frame
2,1,2,17.6599998,18.7119999,2,Map Frame
3,2,2,14.4619999,18.6550007,3,Map Frame
4,2,2,16.7380009,18.6959991,4,Map Frame
5,3,2,12.7938805,18.6161308,5,Map Frame
6,3,2,14.4619999,18.6550007,6,Map Frame
7,4,2,11.5998764,18.5883083,7,Map Frame
8,4,2,12.7938805,18.6161308,8,Map Frame
9,5,2,10.971961,18.5736771,9,Map Frame
10,5,2,11.5998764,18.5883083,10,Map Frame
11,6,2,10.7959166,18.5695744,11,Map Frame
12,6,2,10.971961,18.5736771,12,Map Frame
13,7,2,8.533,18.5240002,13,Map Frame
14,7,2,10.7959166,18.5695744,14,Map Frame
15,8,2,7.3639998,18.4990005,15,Map Frame
16,8,2,8.533,18.5240002,16,Map Frame
17,9,2,6.7030001,18.4850006,17,Map Frame
18,9,2,7.3639998,18.4990005,18,Map Frame
19,10,2,6.4789462,18.4790497,19,Map Frame
20,10,2,6.7030001,18.4850006,20,Map Frame
21,11,2,4.9920001,18.441,21,Map Frame
22,11,2,6.4789462,18.4790497,22,Map Frame
23,12,2,3.3900001,18.3969994,23,Map Frame
24,12,2,4.9920001,18.441,24,Map Frame
26,13,2,9.6827154,18.2092381,25,Castle Street East
25,13,2,10.7959166,18.5695744,26,Castle Street East
27,14,3,17.6599998,18.7119999,27,Map Frame
28,14,3,19.4839993,18.7250004,28,Map Frame
29,14,3,19.5030003,18.1189995,29,Map Frame
31,15,2,8.6569996,18.0890007,30,Market Place
30,15,2,8.533,18.5240002,31,Market Place
33,16,2,5.0978222,18.0533352,32,Margaret Street
32,16,2,6.4789462,18.4790497,33,Margaret Street
34,17,2,4.9920001,18.441,34,Regent Street
35,17,2,5.0978222,18.0533352,35,Regent Street
37,18,2,8.7724485,17.9145889,36,Castle Street East
36,18,2,9.6827154,18.2092381,37,Castle Street East
38,19,2,8.7724485,17.9145889,38,Market Place
39,19,2,8.6569996,18.0890007,39,Market Place
42,20,3,17.4473476,17.9006481,40,Oxford Street
41,20,3,18.7360001,18.0639992,41,Oxford Street
40,20,3,19.5030003,18.1189995,42,Oxford Street
45,21,3,17.4473476,17.9006481,43,Hanway Street
44,21,3,17.5179996,18.4389992,44,Hanway Street
43,21,3,17.6599998,18.7119999,45,Hanway Street
46,22,2,17.1739998,17.8659992,46,Oxford Street
47,22,2,17.4473476,17.9006481,47,Oxford Street
48,23,2,17.1739998,17.8659992,48,Rathbone Place
49,23,2,16.7380009,18.6959991,49,Rathbone Place
51,24,3,7.9260001,17.6700001,50,Market Place
50,24,3,7.882,17.8500004,51,Market Place
52,24,3,8.6569996,18.0890007,52,Market Place
54,25,2,16.1129227,17.645401,53,Oxford Street
53,25,2,17.1739998,17.8659992,54,Oxford Street
57,26,5,16.1129227,17.645401,55,Perrys Place
58,26,5,15.8950005,18.3330002,56,Perrys Place
56,26,5,15.507,18.2420006,57,Perrys Place
55,26,5,15.3870001,18.3390007,58,Perrys Place
59,26,5,15.3170004,18.5170002,59,Perrys Place
61,27,2,3.733,17.6210003,60,Margaret Street
60,27,2,5.0978222,18.0533352,61,Margaret Street
62,28,2,7.6246362,17.5824795,62,Great Castle Street
63,28,2,7.9260001,17.6700001,63,Great Castle Street
65,29,2,7.3639998,18.4990005,64,Margaret Court
64,29,2,7.6246362,17.5824795,65,Margaret Court
67,30,2,3.405966,17.5355129,66,Margaret Street
66,30,2,3.733,17.6210003,67,Margaret Street
68,31,2,3.405966,17.5355129,68,Map Frame
69,31,2,3.3900001,18.3969994,69,Map Frame
71,32,2,15.6000004,17.5249996,70,Oxford Street
70,32,2,16.1129227,17.645401,71,Oxford Street
72,33,2,14.9702625,17.4152355,72,Oxford Street
73,33,2,15.6000004,17.5249996,73,Oxford Street
75,34,2,14.9702625,17.4152355,74,Newman Street
74,34,2,14.4619999,18.6550007,75,Newman Street
77,35,2,6.99401,17.3993397,76,Great Castle Street
76,35,2,7.6246362,17.5824795,77,Great Castle Street
78,36,2,6.99401,17.3993397,78,John Street
